title,month,year,social,aspect,opinion,review,country,polarity
Uncomfortable Seating,Nov,2021,google review,Satisfactions,The seats were uncomfortable and too small,"The seats were uncomfortable and too small. It was a long journey, and I was very uncomfortable.",Ireland,negative
Lack of Accessibility,Jan,2024,twitter,Maintenance,The station was not accessible for people with disabilities,The station was not accessible for people with disabilities. There were no ramps or elevators. It was difficult to navigate.,Portugal,negative
Crowded Train,Dec,2023,instagram,Safety,The train was packed with people,"The train was packed with people, and there was no room to move. It was very uncomfortable and claustrophobic.",Sweden,negative
No Announcements,Mar,2020,facebook,Data availability,There were no announcements about the train delays or changes,There were no announcements about the train delays or changes. It was frustrating to not know what was going on.,Denmark,negative
Dirty Floors,Jun,2022,google review,Cleanliness,The floors were dirty and sticky,The floors were dirty and sticky. It was obvious that they hadn't been cleaned in a while. It was disgusting.,Belgium,negative
Lost Luggage,Apr,2021,twitter,Accidents,My luggage was lost during my journey,My luggage was lost during my journey. I was very stressed and upset because I didn't know what to do.,Switzerland,negative
No Security,Jul,2023,instagram,Safety,I felt unsafe at the station because there was no security,"I felt unsafe at the station because there was no security. There were a lot of people loitering around, and it was very risky.",Austria,negative
Unclear Directions,Oct,2020,facebook,Data availability,The signs were confusing,"The signs were confusing, and I couldn't find my way around the station. It took me a long time to get to my platform.",Finland,negative
Limited Seating,May,2022,google review,Satisfactions,There wasn't enough seating for everyone,"There wasn't enough seating for everyone. I had to stand for a long time, and it was very uncomfortable.",Norway,negative
Noisy Environment,Aug,2023,twitter,Satisfactions,The station was very noisy and chaotic,The station was very noisy and chaotic. It was hard to relax or focus on anything. It was very stressful.,Poland,negative
Broken Toilet,Dec,2021,instagram,Maintenance,The toilet was broken,"The toilet was broken, and I couldn't use it. I had to find another restroom, which was inconvenient.",Romania,negative
No Help Available,Mar,2020,facebook,Handling complaints,There was no staff available to assist me,"I needed help with my luggage, but there was no staff available to assist me. It was frustrating and difficult to manage.",Hungary,negative
No Vending Machines,Jun,2022,google review,Reliability equipment,There were no vending machines at the station,"There were no vending machines at the station, so I couldn't buy anything to eat or drink. It was very inconvenient.",Czech Republic,negative
Bad Smell,Apr,2021,twitter,Cleanliness,The station had a bad smell,The station had a bad smell. It was not pleasant to be there. It was a little off-putting.,Slovakia,negative
Long Queues,Jul,2023,instagram,User-friendly payment system,The queues for tickets were very long,The queues for tickets were very long. I waited for a long time to purchase my ticket. It was very frustrating.,Slovenia,negative
Dirty Benches,Oct,2020,facebook,Cleanliness,The benches were dirty and dusty,The benches were dirty and dusty. It was not pleasant to sit on them. They needed to be cleaned.,Bulgaria,negative
No Maps,May,2022,google review,Data availability,There were no maps available at the station,"There were no maps available at the station, so I had trouble finding my way around. It was very confusing.",Cyprus,negative
Poor Lighting,Aug,2023,twitter,Maintenance,The lighting at the station was dim and inadequate,The lighting at the station was dim and inadequate. It was hard to see where I was going. It was a little unsafe.,Malta,negative
Unfriendly Staff,Dec,2021,instagram,Handling complaints,The staff was not friendly or helpful,The staff was not friendly or helpful. I felt like they didn't want to help me. It was not a good experience.,Luxembourg,negative
No Announcements,Mar,2020,facebook,Data availability,There were no announcements about the arrival or departure of trains,There were no announcements about the arrival or departure of trains. I had to guess when my train was coming. It was very inconvenient.,Latvia,negative
Dirty Restrooms,Jun,2022,google review,Cleanliness,The restrooms were very dirty and smelly,The restrooms were very dirty and smelly. It was not pleasant to use them. They needed to be cleaned.,Lithuania,negative
No Wifi,Apr,2021,twitter,Reliability equipment,There was no signal,"The station advertised free Wi-Fi, but there was no signal. I couldn't connect to the internet. It was very frustrating.",Estonia,negative
Overcrowded Platforms,Jul,2023,instagram,Safety,The platforms were packed with people,"The platforms were packed with people, and it was hard to get on the train. It was very uncomfortable and stressful.",Iceland,negative
No Information Available,Oct,2020,facebook,Data availability,There was no information available about the train schedule or delays,There was no information available about the train schedule or delays. It was frustrating to not know what was happening.,Greece,negative
Broken Ticket Machine,May,2022,google review,User-friendly payment system,The ticket machine was broken,"The ticket machine was broken, and I couldn't buy a ticket. I had to wait in a long queue to get a ticket from a staff member. It was very inconvenient.",Turkey,negative
Noisy Train,Aug,2023,twitter,Satisfactions,The train was very noisy,"The train was very noisy, and I couldn't sleep. It was hard to relax. It was very uncomfortable.",Ukraine,negative
Dirty Train,Dec,2021,instagram,Cleanliness,The train was dirty and unkempt,The train was dirty and unkempt. It was not pleasant to be on. They need to clean it better.,Belarus,negative
No Security,Mar,2020,facebook,Safety,There was no security at the station,"There was no security at the station, and I felt unsafe. There were a lot of people hanging around, and it was not a good feeling.",Moldova,negative
Unclear Announcements,Jun,2022,google review,Data availability,The announcements were very unclear,"The announcements were very unclear, and I couldn't understand what was being said. It was very confusing and frustrating.",Serbia,negative
No Restrooms,Apr,2021,twitter,Maintenance,There were no restrooms available at the station,"There were no restrooms available at the station, which was very inconvenient. I had to hold it for a long time. It was not pleasant.",Croatia,negative
Rude Staff,Jul,2023,instagram,Handling complaints,The staff was rude and unhelpful,The staff was rude and unhelpful. They didn't try to help me with my questions. It was a bad experience.,Bosnia and Herzegovina,negative
No Seating,Oct,2020,facebook,Satisfactions,There was no seating available at the station,"There was no seating available at the station, and I had to stand for a long time. It was very uncomfortable.",Montenegro,negative
Dirty Station,May,2022,google review,Cleanliness,The station was dirty and unkempt,The station was dirty and unkempt. It was not pleasant to be there. They need to clean it up.,Albania,negative
No Signs,Aug,2023,twitter,Data availability,There were no signs at the station,"There were no signs at the station, so I had trouble finding my way around. It was very confusing and frustrating.",North Macedonia,negative
Broken Escalators,Dec,2021,instagram,Maintenance,The escalators were broken,"The escalators were broken, and I had to carry my luggage up the stairs. It was very inconvenient and stressful.",Kosovo,negative
No Information,Mar,2020,facebook,Data availability,There was no information available about the train schedule or delays,There was no information available about the train schedule or delays. It was very difficult to plan my trip. It was not helpful.,Georgia,negative
Uncomfortable Train Ride,Jun,2022,google review,Satisfactions,The train ride was very uncomfortable,"The train ride was very uncomfortable. The seats were hard, and the ride was bumpy. It was not a pleasant experience.",Armenia,negative
No Help Available,Apr,2021,twitter,Handling complaints,There was no staff available to help me,"I had a question about the train schedule, but there was no staff available to help me. It was very frustrating. I was left to figure it out on my own.",Azerbaijan,negative
No Vending Machines,Jul,2023,instagram,Reliability equipment,There were no vending machines at the station,"There were no vending machines at the station, so I couldn't buy anything to eat or drink. It was very inconvenient, especially during a long wait.",Kazakhstan,negative
Dirty Platform,Oct,2020,facebook,Cleanliness,The platform was dirty and littered with trash,The platform was dirty and littered with trash. It was not a pleasant place to wait for the train. It was very off-putting.,Kyrgyzstan,negative
No Security,May,2022,google review,Safety,I felt unsafe at the station because there was no security present,"I felt unsafe at the station because there was no security present. It was very risky, especially at night. I wish there was more security.",Tajikistan,negative
No Announcements,Aug,2023,twitter,Data availability,There were no announcements about the arrival or departure of trains,There were no announcements about the arrival or departure of trains. It was very difficult to know when my train was coming. I had to keep checking the schedule.,Turkmenistan,negative
No Restrooms,Dec,2021,instagram,Maintenance,There were no restrooms available at the station,"There were no restrooms available at the station, which was very inconvenient. I had to find a public restroom elsewhere, which was a hassle.",Uzbekistan,negative
Rude Staff,Mar,2020,facebook,Handling complaints,The staff was rude and unhelpful,"The staff was rude and unhelpful. They didn't try to help me with my questions, and they were not polite. It was not a good experience.",Afghanistan,negative
No Seating,Jun,2022,google review,Satisfactions,There was no seating available at the station,"There was no seating available at the station, and I had to stand for a long time. It was very uncomfortable and tiring. It was not a good experience.",Pakistan,negative
Dirty Station,Apr,2021,twitter,Cleanliness,The station was dirty and unkempt,The station was dirty and unkempt. It was not pleasant to be there. It looked like it hadn't been cleaned in a while. It was not a good first impression.,Bangladesh,negative
No Signs,Jul,2023,instagram,Data availability,There were no signs at the station,"There were no signs at the station, so I had trouble finding my way around. It was very confusing and frustrating. I couldn't find my platform.",Sri Lanka,negative
Broken Escalators,Oct,2020,facebook,Maintenance,The escalators were broken,"The escalators were broken, and I had to carry my luggage up the stairs. It was very inconvenient and stressful, especially with heavy luggage.",Nepal,negative
No Information,May,2022,google review,Data availability,There was no information available about the train schedule or delays,There was no information available about the train schedule or delays. It was very difficult to plan my trip. I had to guess when my train was coming.,Bhutan,negative
Uncomfortable Train Ride,Aug,2023,twitter,Satisfactions,The train ride was very uncomfortable,"The train ride was very uncomfortable. The seats were hard and cramped, and the ride was bumpy. It was not a pleasant experience.",Maldives,negative
No Help Available,Dec,2021,instagram,Handling complaints,There was no staff available to help me,"I had a question about the train schedule, but there was no staff available to help me. It was very frustrating. I was left to figure it out on my own.",Myanmar,negative
No Vending Machines,Mar,2020,facebook,Reliability equipment,There were no vending machines at the station,"There were no vending machines at the station, so I couldn't buy anything to eat or drink. It was very inconvenient, especially during a long wait.",Cambodia,negative
Dirty Platform,Jun,2022,google review,Cleanliness,The platform was dirty and littered with trash,The platform was dirty and littered with trash. It was not a pleasant place to wait for the train. It was very off-putting.,Laos,negative
No Security,Apr,2021,twitter,Safety,I felt unsafe at the station because there was no security present,"I felt unsafe at the station because there was no security present. It was very risky, especially at night. I wish there was more security.",Vietnam,negative
No Announcements,Jul,2023,instagram,Data availability,There were no announcements about the arrival or departure of trains,There were no announcements about the arrival or departure of trains. It was very difficult to know when my train was coming. I had to keep checking the schedule.,Singapore,negative
No Restrooms,Oct,2020,facebook,Maintenance,There were no restrooms available at the station,"There were no restrooms available at the station, which was very inconvenient. I had to find a public restroom elsewhere, which was a hassle.",Brunei,negative
Rude Staff,May,2022,google review,Handling complaints,The staff was rude and unhelpful,"The staff was rude and unhelpful. They didn't try to help me with my questions, and they were not polite. It was not a good experience.",East Timor,negative
No Seating,Aug,2023,twitter,Satisfactions,There was no seating available at the station,"There was no seating available at the station, and I had to stand for a long time. It was very uncomfortable and tiring. It was not a good experience.",Indonesia,negative
Dirty Station,Dec,2021,instagram,Cleanliness,The station was dirty and unkempt,The station was dirty and unkempt. It was not pleasant to be there. It looked like it hadn't been cleaned in a while. It was not a good first impression.,Philippines,negative
No Signs,Mar,2020,facebook,Data availability,There were no signs at the station,"There were no signs at the station, so I had trouble finding my way around. It was very confusing and frustrating. I couldn't find my platform.",Malaysia,negative
Broken Escalators,Jun,2022,google review,Maintenance,The escalators were broken,"The escalators were broken, and I had to carry my luggage up the stairs. It was very inconvenient and stressful, especially with heavy luggage.",Thailand,negative
Disappointing Reliability,Dec,2023,facebook,Reliability equipment,The trains are frequently delayed.,"My train was delayed for over an hour with no explanation. This happened twice in a week, making it very unreliable. ",Canada,negative
Pricey for What You Get,Oct,2019,google review,Price,The ticket prices are too high.,"I found the prices for tickets to be quite high, especially considering the lack of cleanliness and comfort on the train.",Germany,negative
Unpleasant Journey,May,2022,twitter,Cleanliness,The toilets were filthy.,The toilets were absolutely disgusting and the air conditioning didn't work. It was a very unpleasant journey.,Australia,negative
Not User-Friendly,Jan,2024,google review,User-friendly payment system,The ticket machines are difficult to use.,The ticket machines were confusing and difficult to use. It took me ages to figure out how to buy a ticket.,France,negative
Safety Concerns,Jul,2021,instagram,Safety,The platform feels unsafe.,"I felt unsafe on the platform, there were a lot of people crowding around and it felt very chaotic.",USA,negative
Unresponsive Staff,Feb,2018,facebook,Handling complaints,The staff were unhelpful.,"I tried to get help from the staff with a lost item, but they were unhelpful and didn't seem to care.",Brazil,negative
A Messy Station,Nov,2016,google review,Cleanliness,The station is dirty.,"The station was very dirty and cluttered, it didn't feel very welcoming.",Japan,negative
Train Not Clean,Jun,2020,instagram,Cleanliness,The train was dirty.,"The train itself was very dirty, with trash on the floor and seats that were stained.",Italy,negative
Lack of Information,Apr,2017,twitter,Data availability,There was no information available.,There wasn't any information about the delays or platform changes. It was very frustrating to have to figure it out on my own.,China,negative
Unreliable Service,Sep,2015,facebook,Reliability equipment,The service is unreliable.,"My train was cancelled without warning. I had to wait for hours for the next one, which was also delayed. ",Russia,negative
Unpleasant Experience,Mar,2023,google review,Satisfactions,The journey was unpleasant.,The train was crowded and uncomfortable. It was a very unpleasant experience.,South Korea,negative
Poor Maintenance,Aug,2022,twitter,Maintenance,The station is poorly maintained.,The escalators were broken and the bathrooms were in a terrible state of repair. It looked like the station wasn't maintained well.,Spain,negative
No Safety Precautions,Jul,2021,google review,Safety,The platform feels unsafe.,I saw people smoking on the platform and there wasn't any security staff around. It didn't feel safe.,Mexico,negative
Unhelpful Staff,Nov,2016,facebook,Handling complaints,The staff were unhelpful.,I asked the staff for directions and they just shrugged their shoulders. Not very helpful.,Netherlands,negative
Overpriced for the Service,Apr,2019,instagram,Price,The prices are too high.,"The prices are very high, considering the lack of cleanliness and comfort.  It's not worth the money.",Sweden,negative
Unreliable Train Service,Jan,2024,google review,Reliability equipment,The train service is unreliable.,My train was delayed for over an hour with no explanation. This is not the first time this has happened.,Portugal,negative
Dirty and Disgusting,Jun,2020,twitter,Cleanliness,The station is dirty.,"The station was filthy, with trash everywhere. It was disgusting and I felt uncomfortable.",India,negative
Poor Customer Service,Feb,2018,facebook,Handling complaints,The staff were unhelpful.,The staff were rude and unhelpful. I had a problem with my ticket and they didn't offer any assistance.,United Kingdom,negative
Lack of Security,May,2022,google review,Safety,The station doesn't feel safe.,I didn't feel safe at the station. There was no security staff around and it felt very chaotic.,New Zealand,negative
Difficult Payment System,Dec,2023,instagram,User-friendly payment system,The ticket machines are difficult to use.,The ticket machines were confusing and hard to use. I had to ask for help from the staff.,Denmark,negative
Train Not Comfortable,Aug,2022,twitter,Satisfactions,The train was uncomfortable.,The seats on the train were uncomfortable and cramped. The journey was very tiring.,Belgium,negative
No Maintenance,Mar,2023,google review,Maintenance,The station isn't well-maintained.,The escalators were broken and the bathrooms were in a terrible state of repair. It looked like the station was neglected.,Switzerland,negative
Unsatisfactory Journey,Oct,2019,facebook,Satisfactions,The journey was unsatisfactory.,The train was delayed and the seats were uncomfortable. The journey was not enjoyable.,Norway,negative
Lack of Updates,Nov,2016,instagram,Data availability,There were no updates.,There were no updates about the delays. It was very frustrating to be left in the dark.,Finland,negative
Terrible Experience,Jun,2020,twitter,Satisfactions,The experience was terrible.,"The train was dirty, delayed, and the staff were unhelpful. It was a terrible experience.",Austria,negative
Safety Issues,Feb,2018,google review,Safety,The platform was unsafe.,I felt unsafe on the platform. There were a lot of people crowding around and it was chaotic.,Ireland,negative
Unpleasant Train Ride,May,2022,facebook,Satisfactions,The train ride was unpleasant.,The air conditioning was not working properly and the train was very stuffy. It was an unpleasant ride.,Poland,negative
No Help From Staff,Dec,2023,instagram,Handling complaints,The staff were unhelpful.,"I had a problem with my ticket and asked for help, but the staff were rude and unhelpful.",Romania,negative
Overpriced Tickets,Aug,2022,twitter,Price,The tickets are too expensive.,The tickets are too expensive for the quality of the service. I feel like I'm paying a premium for a substandard experience.,Hungary,negative
Not User-Friendly,Mar,2023,google review,User-friendly payment system,The ticket machines are difficult to use.,The ticket machines were confusing and difficult to use. I had to ask for help from the staff.,Czech Republic,negative
Dirty Station,Oct,2019,facebook,Cleanliness,The station is dirty.,The station was very dirty and smelly. It didn't feel very welcoming.,Slovakia,negative
Unreliable Train Service,Nov,2016,instagram,Reliability equipment,The train service is unreliable.,My train was cancelled without any warning. It was very inconvenient and frustrating.,Bulgaria,negative
Unpleasant Journey,Jun,2020,twitter,Satisfactions,The journey was unpleasant.,The train was overcrowded and uncomfortable. It was a very unpleasant experience.,Croatia,negative
Lack of Information,Feb,2018,google review,Data availability,There was no information available.,There wasn't any information about the delays or platform changes. It was very frustrating to figure it out on my own.,Slovenia,negative
Dirty Train,May,2022,facebook,Cleanliness,The train was dirty.,"The train was very dirty, with trash on the floor and seats that were stained. It wasn't very hygienic.",Lithuania,negative
Safety Concerns,Dec,2023,instagram,Safety,The station feels unsafe.,I didn't feel safe at the station. There were a lot of people crowding around and it felt chaotic.,Latvia,negative
Poor Customer Service,Aug,2022,twitter,Handling complaints,The staff were unhelpful.,The staff were unhelpful and not very friendly. I had a problem with my ticket and they didn't offer any assistance.,Estonia,negative
Unsatisfactory Experience,Mar,2023,google review,Satisfactions,The experience was unsatisfactory.,The train was delayed and the seats were uncomfortable. It was a very disappointing experience.,Cyprus,negative
No Maintenance,Oct,2019,facebook,Maintenance,The station isn't well-maintained.,The escalators were broken and the bathrooms were in a terrible state of repair. It looked like the station was neglected.,Malta,negative
Overpriced for the Service,Nov,2016,instagram,Price,The tickets are too expensive.,The tickets are too expensive for the quality of the service. I feel like I'm being ripped off.,Luxembourg,negative
Difficult to Navigate,Jun,2020,twitter,User-friendly payment system,The station is difficult to navigate.,The station was confusing and difficult to navigate. It took me a long time to find my platform.,Iceland,negative
Not a Pleasant Experience,Feb,2018,google review,Satisfactions,The experience wasn't pleasant.,The train was delayed and the seats were uncomfortable. It was not a pleasant experience.,Greece,negative
Unreliable Service,May,2022,facebook,Reliability equipment,The train service is unreliable.,My train was cancelled with no notice. It was very frustrating and inconvenient.,Turkey,negative
Lack of Information,Dec,2023,instagram,Data availability,There was no information available.,There wasn't any information about the delays or platform changes. It was very difficult to get around.,Egypt,negative
No Security,Aug,2022,twitter,Safety,The station doesn't feel safe.,I didn't feel safe at the station. There were no security staff and it felt very chaotic.,Morocco,negative
Dirty and Unkempt,Mar,2023,google review,Cleanliness,The station is dirty.,The station was very dirty and unkempt. It didn't feel very welcoming or clean.,Algeria,negative
Poor Customer Service,Oct,2019,facebook,Handling complaints,The staff were unhelpful.,The staff were rude and unhelpful. I had a problem with my ticket and they didn't seem to care.,Tunisia,negative
Not User-Friendly,Nov,2016,instagram,User-friendly payment system,The ticket machines are difficult to use.,The ticket machines were confusing and difficult to use. It took me ages to figure out how to buy a ticket.,South Africa,negative
Dirty Train,Jun,2020,twitter,Cleanliness,The train was dirty.,"The train itself was very dirty, with trash on the floor and seats that were stained. It wasn't a pleasant experience.",Nigeria,negative
Not Worth the Price,Feb,2018,google review,Price,The tickets are overpriced.,The tickets are overpriced for the quality of the service. I would not recommend using this railway.,Kenya,negative
Unreliable Service,May,2022,facebook,Reliability equipment,The service is unreliable.,My train was delayed for over an hour with no explanation. This is a regular occurrence.,Ghana,negative
Unsatisfactory Journey,Dec,2023,instagram,Satisfactions,The journey was unsatisfactory.,The train was overcrowded and uncomfortable. It was not a pleasant journey.,Cameroon,negative
Safety Concerns,Aug,2022,twitter,Safety,The station doesn't feel safe.,I didn't feel safe at the station. There was no security staff and it felt very chaotic.,Senegal,negative
Unhelpful Staff,Mar,2023,google review,Handling complaints,The staff were unhelpful.,"I had a problem with my ticket and asked for help, but the staff were rude and unhelpful.",Tanzania,negative
No Maintenance,Oct,2019,facebook,Maintenance,The station isn't well-maintained.,The escalators were broken and the bathrooms were in a terrible state of repair. It looked like the station was neglected.,Uganda,negative
Overcrowded and Uncomfortable,Nov,2016,instagram,Satisfactions,The journey was unpleasant.,The train was packed and the seats were uncomfortable. It was a very unpleasant journey.,Zimbabwe,negative
Dirty Station,Jun,2020,twitter,Cleanliness,The station is dirty.,The station was very dirty and smelly. It didn't feel very clean or welcoming.,Zambia,negative
Unreliable Train Service,Feb,2018,google review,Reliability equipment,The train service is unreliable.,My train was delayed for over an hour with no explanation. This is not the first time this has happened.,Mozambique,negative
No Information,May,2022,facebook,Data availability,There was no information available.,There wasn't any information about the delays or platform changes. It was very frustrating to figure it out on my own.,Angola,negative
Safety Concerns,Dec,2023,instagram,Safety,The station doesn't feel safe.,I didn't feel safe at the station. There was no security staff and it felt very chaotic.,Namibia,negative
Difficult Payment System,Aug,2022,twitter,User-friendly payment system,The ticket machines are difficult to use.,The ticket machines were confusing and difficult to use. I had to ask for help from the staff.,Botswana,negative
Not a Pleasant Experience,Mar,2023,google review,Satisfactions,The experience wasn't pleasant.,The train was delayed and the seats were uncomfortable. It was not a pleasant experience.,Madagascar,negative
Dirty Station,Oct,2019,facebook,Cleanliness,The station is dirty.,The station was very dirty and smelly. It didn't feel very clean or welcoming.,Mauritius,negative
Overpriced for the Service,Nov,2016,instagram,Price,The tickets are overpriced.,The tickets are too expensive for the quality of the service. I feel like I'm being ripped off.,Seychelles,negative
Unpleasant Journey,Jun,2020,twitter,Satisfactions,The journey was unpleasant.,The train was overcrowded and uncomfortable. It was a very unpleasant experience.,New Zealand,negative
Unreliable Service,Feb,2018,google review,Reliability equipment,The service is unreliable.,My train was delayed for over an hour with no explanation. This is a regular occurrence.,Australia,negative
Safety Concerns,May,2022,facebook,Safety,The station doesn't feel safe.,I didn't feel safe at the station. There was no security staff and it felt very chaotic.,Canada,negative
No Maintenance,Dec,2023,instagram,Maintenance,The station isn't well-maintained.,The escalators were broken and the bathrooms were in a terrible state of repair. It looked like the station was neglected.,USA,negative
Dirty and Disgusting,Aug,2022,twitter,Cleanliness,The station is dirty.,"The station was filthy, with trash everywhere. It was disgusting and I felt uncomfortable.",Mexico,negative
Overpriced for the Service,Mar,2023,google review,Price,The tickets are overpriced.,The tickets are too expensive for the quality of the service. I feel like I'm paying a premium for a substandard experience.,Brazil,negative
Difficult to Navigate,Oct,2019,facebook,User-friendly payment system,The station is difficult to navigate.,The station was confusing and difficult to navigate. It took me a long time to find my platform.,Argentina,negative
Not a Pleasant Experience,Nov,2016,instagram,Satisfactions,The experience wasn't pleasant.,The train was delayed and the seats were uncomfortable. It was not a pleasant experience.,Chile,negative
Unreliable Service,Jun,2020,twitter,Reliability equipment,The train service is unreliable.,My train was cancelled with no notice. It was very frustrating and inconvenient.,Colombia,negative
No Information,Feb,2018,google review,Data availability,There was no information available.,There wasn't any information about the delays or platform changes. It was very difficult to get around.,Peru,negative
Safety Concerns,May,2022,facebook,Safety,The station doesn't feel safe.,I didn't feel safe at the station. There were no security staff and it felt very chaotic.,Venezuela,negative
Unhelpful Staff,Dec,2023,instagram,Handling complaints,The staff were unhelpful.,"I had a problem with my ticket and asked for help, but the staff were rude and unhelpful.",Ecuador,negative
Dirty Train,Aug,2022,twitter,Cleanliness,The train was dirty.,"The train itself was very dirty, with trash on the floor and seats that were stained. It wasn't a pleasant experience.",Bolivia,negative
Not Worth the Price,Mar,2023,google review,Price,The tickets are overpriced.,The tickets are overpriced for the quality of the service. I would not recommend using this railway.,Paraguay,negative
Unreliable Service,Oct,2019,facebook,Reliability equipment,The service is unreliable.,My train was delayed for over an hour with no explanation. This is a regular occurrence.,Uruguay,negative
Unsatisfactory Journey,Nov,2016,instagram,Satisfactions,The journey was unsatisfactory.,The train was overcrowded and uncomfortable. It was not a pleasant journey.,Guyana,negative
Safety Concerns,Jun,2020,twitter,Safety,The station doesn't feel safe.,I didn't feel safe at the station. There was no security staff and it felt very chaotic.,Suriname,negative
Difficult Payment System,Feb,2018,google review,User-friendly payment system,The ticket machines are difficult to use.,The ticket machines were confusing and difficult to use. I had to ask for help from the staff.,French Guiana,negative
Disappointing Cleanliness,Nov,2019,facebook,Cleanliness,The station was not clean.,"The station was quite dirty, with trash on the platforms and in the restrooms. It's not a good first impression for tourists.",Canada,negative
Punctuality Issues,Jul,2021,google review,Punctuality,The train was delayed.,"My train was delayed by over 30 minutes, and there was no announcement or explanation. It was very frustrating.",Australia,negative
Unreliable Equipment,Apr,2017,google review,Reliability equipment,The escalator was broken.,"The escalator broke down, and we had to walk up the stairs. It was a bit of a hassle, especially for elderly people.",France,negative
Safety Concerns,Oct,2023,tiktok,Safety,The station felt unsafe.,"I saw a group of people fighting on the platform, and it made me feel unsafe. There were no security guards around.",USA,negative
Confusing Ticket System,Dec,2022,google review,User-friendly payment system,The ticket machines were confusing.,"The ticket machines were difficult to use, and I couldn't figure out how to buy a ticket for my destination. I had to ask for help.",Germany,negative
Lack of Information,Jun,2020,google review,Data availability,The station lacked clear information.,There weren't any clear signs indicating which platform my train would be departing from. I had to wander around and ask for directions.,Japan,negative
Unresponsive Staff,Feb,2018,facebook,Satisfactions,The staff was not helpful.,"I tried to ask a staff member for help, but they were rude and unhelpful. They didn't seem interested in assisting me.",Italy,negative
Crowded Conditions,Sep,2016,instagram,Cleanliness,The station was overcrowded.,The station was so crowded during rush hour that it was difficult to navigate. It felt claustrophobic and uncomfortable.,South Korea,negative
Limited Accessibility,Mar,2014,google review,Maintenance,The station was not accessible.,There weren't enough accessible facilities for people with disabilities. It was difficult to get around with a wheelchair.,Spain,negative
Unpleasant Odor,May,2023,twitter,Cleanliness,The restrooms smelled bad.,"There was a strong, unpleasant odor coming from the restrooms. It was not a pleasant experience.",Brazil,negative
Uncomfortable Seating,Jan,2015,google review,Maintenance,The seats were uncomfortable.,The waiting area had very uncomfortable seats. It was hard to relax and wait for my train.,China,negative
Noisy Environment,Aug,2020,facebook,Satisfactions,The station was noisy.,"The station was very noisy, with announcements and conversations constantly interrupting my peace. It was difficult to relax.",India,negative
Pricey Snacks,Oct,2019,google review,Price,The food was overpriced.,The food and drinks available at the station were overpriced. I could have gotten a better deal elsewhere.,Netherlands,negative
Lack of Security,Jun,2022,twitter,Safety,There was lack of security.,"I saw people sleeping on the platform, and there were no security guards around. It made me feel vulnerable.",Russia,negative
Dirty Bathrooms,Dec,2017,google review,Cleanliness,The bathrooms were dirty.,The restrooms were filthy and didn't have any soap or toilet paper. It was disgusting.,New Zealand,negative
Rude Staff,May,2021,instagram,Satisfactions,The staff was rude.,The staff were rude and dismissive when I asked for directions. They didn't seem to care about assisting passengers.,Portugal,negative
Limited Luggage Storage,Jan,2016,google review,Maintenance,The luggage storage was limited.,"There were very limited luggage storage options available, and they were very expensive. I had to carry my heavy luggage around.",Sweden,negative
Long Queues,Aug,2018,facebook,Satisfactions,The queues were long.,"There were incredibly long queues for everything, from buying tickets to getting a coffee. It took forever to get through.",Switzerland,negative
Poor Communication,Sep,2023,google review,Data availability,There was poor communication.,"There were no announcements in English, and the staff didn't speak much English either. It was difficult to get information.",Ireland,negative
Limited Seating,Mar,2015,twitter,Maintenance,There was limited seating.,There wasn't enough seating available for all the passengers. I had to stand for a long time while waiting for my train.,Denmark,negative
Unpleasant Atmosphere,Oct,2014,google review,Safety,The atmosphere was unpleasant.,"The station had a very unpleasant atmosphere, with lots of people smoking and loitering. It wasn't a safe or comfortable place.",Norway,negative
Dirty Floors,Nov,2019,facebook,Cleanliness,The floors were dirty.,"The floors were sticky and dirty, with lots of trash scattered around. It was not a pleasant experience.",Finland,negative
Broken Escalator,Jul,2021,google review,Reliability equipment,The escalator was broken.,"The escalator was out of service, and there was no sign indicating why or when it would be fixed. It was inconvenient.",Belgium,negative
Unorganized Ticketing,Apr,2017,twitter,User-friendly payment system,The ticketing system was unorganized.,The ticketing system was confusing and disorganized. It was difficult to find the right ticket for my journey.,Austria,negative
Noisy Announcements,Dec,2022,google review,Data availability,The announcements were noisy.,The announcements were very loud and confusing. They were hard to understand and often repeated unnecessary information.,Hungary,negative
Lack of Staff,Jun,2020,facebook,Satisfactions,There was a lack of staff.,There weren't enough staff members to help with questions or issues. I had to wait for a long time to get assistance.,Poland,negative
Unfriendly Staff,Feb,2018,instagram,Satisfactions,The staff was unfriendly.,The staff were not friendly or helpful. They didn't seem to want to help passengers with their questions.,Romania,negative
Unpleasant Smells,Sep,2016,google review,Cleanliness,The station had unpleasant smells.,"There were unpleasant smells coming from the station, possibly from the trash or the restrooms. It was not a nice experience.",Czech Republic,negative
Long Waiting Times,Mar,2014,twitter,Punctuality,The waiting times were long.,"I had to wait for a very long time for my train, and there was no indication of how long the delay would be. It was frustrating.",Slovakia,negative
Dirty Restrooms,May,2023,google review,Cleanliness,The restrooms were dirty.,"The restrooms were dirty and unhygienic. They didn't have any soap or toilet paper, and there was a foul odor.",Slovenia,negative
Noisy Trains,Jan,2015,facebook,Reliability equipment,The trains were noisy.,"The trains were very noisy, with loud announcements and rattling sounds. It was difficult to sleep or relax.",Bulgaria,negative
Inaccessible Platform,Aug,2020,google review,Maintenance,The platform was inaccessible.,The platform was not accessible for people with disabilities. It was difficult to get to the train with a wheelchair.,Croatia,negative
